,Name,RT,Age,Peak RT,Offers,Minimum offer,Health,Link
47,Ting-Kuo Kao,152,23 y.,210,1,2 002 Eu,90%,https://www.basketpulse.com/en/Player/2378838/description
90,Pôncio Paulinho,247,26 y.,248,0,9 823 Eu,90%,https://www.basketpulse.com/en/Player/2429976/description
96,Shing Yi Hang,241,26 y.,242,1,9 272 Eu,90%,https://www.basketpulse.com/en/Player/2430585/description
114,Jorge Benavente,220,27 y.,220,0,7 416 Eu,90%,https://www.basketpulse.com/en/Player/2395459/description
136,Ambesta Oparanya,213,28 y.,222,1,7 096 Eu,95%,https://www.basketpulse.com/en/Player/2176863/description
157,Бронислав Свищев,241,30 y.,241,0,10 272 Eu,100%,https://www.basketpulse.com/en/Player/2224551/description
